"Onoda: 10,000 Nights in the Jungle",2021,"Adventure, Drama, History",N/A,173 ,7.2
Limbo,2020,"Comedy, Drama",R,104 ,7.2
June Again,2020,Drama,Not Rated,99 ,7.2
Return to Legoland,2021,Drama,N/A,109 ,7.2
Ghostbusters: Afterlife,2021,"Adventure, Comedy, Fantasy",PG-13,124 ,7.1
Free Guy,2021,"Action, Adventure, Comedy",PG-13,115 ,7.1
Wrath of Man,2021,"Action, Crime, Thriller",R,119 ,7.1
Licorice Pizza,2021,"Comedy, Drama, Romance",R,133 ,7.1
The French Dispatch,2021,"Comedy, Drama, Romance",R,107 ,7.1
Red Rocket,2021,"Comedy, Drama",R,130 ,7.1
The Tragedy of Macbeth,2021,"Drama, Mystery, Thriller",R,105 ,7.1
The Last Dance,2020,"Documentary, Biography, History",TV-MA,491 ,9.1
David Attenborough: A Life on Our Planet,2020,"Documentary, Biography",PG,83 ,8.9
All Creatures Great and Small,2020,"Comedy, Drama",TV-PG,N/A,8.6
The Queen's Gambit,2020,Drama,TV-MA,397 ,8.5
Hamilton,2020,"Biography, Drama, History",PG-13,160 ,8.3
